OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
289259587,451,Madison St & Fairfax St,31918,38.812351,-77.040691,YES,NO,,,NO,7,8,396465.9686,127176.4201,,
289259588,452,Sligo Ave & Carroll Ln,32058,38.990874,-77.016311,YES,NO,,,NO,5,9,398586.9233,146993.2565,,
289259589,453,15th & W St NW,31125,38.919086,-77.034502,YES,NO,,,NO,6,13,397007.964,139024.5695,,DC
289259590,454,12th St & Pennsylvania Ave SE,31644,38.882489,-76.990121,YES,NO,,,NO,7,12,400857.153,134961.4895,,DC
289259591,455,3rd St & Riggs Rd NE,31412,38.957463,-77.002239,YES,NO,,,NO,10,4,399805.9369,143284.1914,,DC
289259592,456,Carlin Springs Rd & N Thomas St,31919,38.876695,-77.112982,YES,NO,,,NO,5,10,390196.3054,134324.3317,,
289259593,457,Towers Crescent Dr & Tysons One Pl,32222,38.915246,-77.220157,YES,NO,,,NO,2,9,380906.8311,138620.7552,,
289259594,458,6th & K St NE,31645,38.902351,-76.998389,YES,NO,,,NO,17,2,400139.7398,137166.2826,,DC
289259595,459,Pooks Hill Rd & Linden Ave,32057,39.014716,-77.107143,YES,NO,,,NO,4,11,390720.9504,149645.2817,,
289259596,460,Takoma Park Rec Center,32059,38.98265,-76.988311,YES,NO,,,NO,6,9,401012.7742,146080.2499,,
289259597,461,New Hampshire & Kirklynn Ave,32061,38.988101,-76.988422,YES,NO,,,NO,7,8,401003.0801,146685.3633,,
289259598,462,Wheaton Metro / Georgia Ave & Reedie Dr,32062,39.038341,-77.051023,YES,NO,,,NO,8,2,395582.6515,152263.7011,,
289259599,463,Amherst Ave & Elkins St,32063,39.044887,-77.047788,YES,NO,,,NO,9,6,395863.104,152990.2285,,
289259600,464,Amherst Ave & Prichard Rd,32064,39.035965,-77.048395,YES,NO,,,NO,7,8,395810.0324,151999.8149,,
289259601,465,Grandview & Blueridge Ave,32065,39.043272,-77.053085,YES,NO,,,NO,0,15,395404.4508,152811.1988,,
289259602,466,Windham Ln & Amherst Ave,32066,39.032029,-77.04735,YES,NO,,,NO,5,9,395900.2803,151562.8283,,
289259603,467,North Shore Dr & Village Rd,32223,38.970412,-77.340787,YES,NO,,,NO,4,7,370468.0662,144776.7717,,
289259604,468,Town Center Pkwy & Sunset Hills Rd,32224,38.955171,-77.363094,YES,NO,,,NO,7,4,368528.2658,143092.3444,,
289259605,469,3rd & Underwood St NW,31413,38.968834,-77.016258,YES,NO,,,NO,5,14,398591.0791,144546.6017,,DC
289259606,470,18th & Monroe St NE,31521,38.93293,-76.979517,YES,NO,,,NO,18,1,401775.9544,140561.0057,,DC
289259607,471,7th & E St SW,31294,38.88345,-77.021741,YES,NO,,,NO,10,9,398113.6641,135068.3461,,DC
289259608,472,Shady Grove Metro East,32067,39.121327,-77.164969,YES,NO,,,NO,14,5,385734.3593,161487.8106,,
289259609,473,Potomac & M St NW,31295,38.905368,-77.065149,YES,NO,,,NO,10,9,394349.1497,137503.2092,,DC
289259610,474,Columbia & Ontario Rd NW,31296,38.924088,-77.040787,YES,NO,,,NO,3,19,396463.1728,139580.0585,,DC
289259611,475,Washington-Liberty High School / N Stafford St & Generals Way,31920,38.888282,-77.111066,YES,NO,,,NO,8,7,390364.1257,135610.3726,,
289259612,476,Westover Library / Washington Blvd & N McKinley Rd,31921,38.886048,-77.142317,YES,NO,,,NO,7,8,387652.4639,135366.1444,,
289259613,477,Columbia Pike & S Taylor St,31923,38.858524,-77.103728,YES,NO,,,NO,8,7,390997.0028,132306.2646,,
289259614,478,Columbus Ave & Tribeca St,32068,39.126,-77.1673,YES,NO,,,NO,1,10,385533.7378,162006.9418,,
289259615,479,Columbus Ave & Gramercy Blvd,32069,39.12333,-77.16486,YES,NO,,,NO,0,11,385744.1866,161710.1528,,
289259616,480,Reston Pkwy & Spectrum Dr,32225,38.964208,-77.35428,YES,NO,,,NO,6,9,369296.1222,144092.5258,,
289259617,481,Key West Ave & Great Seneca Hwy,32070,39.105642,-77.20386,YES,NO,,,NO,6,5,382367.3894,159753.3694,,
289259618,482,Virginia Ave & 25th St NW,31297,38.8995,-77.054155,YES,NO,,,NO,12,7,395302.3534,136851.1909,,DC
289259619,483,15th & M St NW,31298,38.905424,-77.034674,YES,NO,,,NO,13,5,396992.472,137507.9804,,DC
289259620,484,11th & Girard St NW,31126,38.925636,-77.027112,YES,NO,,,NO,3,16,397649.0456,139751.4587,,DC
289259621,485,Connecticut Ave & R St NW,31299,38.912644,-77.04564,YES,NO,,,NO,16,3,396041.7119,138309.8779,,DC
289259622,486,Wilson Blvd & N Troy St,31924,38.892556,-77.082089,YES,NO,,,NO,2,13,392878.5408,136082.1603,,
289259623,487,American University East Campus,31320,38.936298,-77.087128,YES,NO,,,NO,2,15,392446.0274,140938.2887,,DC
289259624,488,15th St & Constitution Ave NW,31321,38.892244,-77.033234,YES,NO,,,NO,8,10,397116.841,136044.8487,,DC
289259625,489,22nd & H St NW,31127,38.899104,-77.048946,YES,NO,,,NO,4,11,395754.1817,136806.9765,,DC
289259626,490,23rd & M St NW,31128,38.905303,-77.050264,YES,NO,,,NO,7,11,395640.2307,137495.1775,,DC
289259627,491,Corporate Blvd & Omega Dr,32071,39.106971,-77.192645,YES,NO,,,NO,2,13,383337.7263,159898.7985,,
289259628,492,Key West Ave & Diamondback Dr,32072,39.106152,-77.202354,YES,NO,,,NO,4,7,382497.7742,159809.696,,
289259629,493,Alabama Ave & Stanton Rd SE / Shops at Park Village,31813,38.84627,-76.98185,YES,NO,,,NO,6,13,401575.587,130941.0252,,DC
289259630,494,Mississippi Ave & 19th St SE / THEARC,31814,38.84377,-76.97557,YES,NO,,,NO,6,12,402120.823,130663.635,,DC
289259631,495,19th & Savannah St SE,31815,38.84623,-76.97703,YES,NO,,,NO,7,4,401994.0084,130936.6792,,DC
289259632,496,4th St & Mississippi Ave SE,31816,38.836,-77.0009,YES,NO,,,NO,14,4,399921.8605,129800.8281,,DC
289259633,497,1st & S Capitol St SE / Oxon Run Trail,31817,38.824481,-77.005497,YES,NO,,,NO,10,9,399522.6642,128522.1558,,DC
289259634,498,Livingston Rd & 3rd St SE,31818,38.82373,-77.00223,YES,NO,,,NO,6,9,399806.3544,128438.7778,,DC
289259635,499,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,31819,38.81909,-77.01033,YES,NO,,,NO,7,11,399102.9195,127923.7558,,DC
289259636,500,37th & Ely Pl SE,31715,38.883011,-76.949709,YES,NO,,,NO,4,11,404363.4744,135020.5911,,DC
289259637,501,15th St & Pennsylvania Ave NW,31129,38.89635,-77.03338,YES,NO,,,NO,12,7,397104.3417,136500.6518,,DC
289259638,505,Maine Ave & 9th St SW,31646,38.88044,-77.025236,YES,NO,,,NO,10,5,397810.3316,134734.2911,,DC
289259639,506,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,31523,38.915,-77.0078,YES,NO,,,NO,8,11,399323.5401,138570.4529,,DC
289259640,507,Blueridge Ave & Elkin St,32073,39.04313,-77.05006,YES,NO,,,NO,10,5,395666.3153,152795.2872,,
289259641,508,Georgia Ave & Kennedy St NW,31415,38.95674,-77.02791,YES,NO,,,NO,2,16,397580.9045,143204.2991,,DC
